"game_id","play_index","row_type","play_type","down","distance","yards_gained","pos_team","next_pos_team","no_play","rush","pass","completion","sack","int","fumble_vec","turnover","downs_turnover","touchdown","safety","review_reason","play_text"
"20250906_e064",4,"penalty_no_play","penalty_no_play",3,12,,"UChicago","UChicago",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"no_play","PENALTY UCHI Delay Of Game (Ruff,Jack) 5 yards from UCHI23 to UCHI18. NO PLAY."
"20250906_e064",13,"play","pass_complete",2,10,11,"Carnegie Mellon","UChicago",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"rare_flag keyword","Shotgun McGinnis IV,Joey pass complete short right to Bouma,Willem caught at UCHI16, for 11 yards to the UCHI00 TOUCHDOWN, clock 10:10, 1ST DOWN."
"20250906_e064",19,"penalty_no_play","penalty_no_play",4,4,,"UChicago","UChicago",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"no_play","PENALTY UCHI Delay Of Game (Tan,Tad) 5 yards from UCHI31 to UCHI26. NO PLAY."
"20250906_e064",28,"penalty_no_play","penalty_no_play",4,9,,"UChicago","UChicago",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"no_play","PENALTY UCHI Illegal Substitution (Rochester,EJ) 3 yards from UCHI06 to UCHI03. NO PLAY."
"20250906_e064",34,"penalty_no_play","penalty_no_play",3,2,,"Carnegie Mellon","Carnegie Mellon",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"no_play","PENALTY CMU False Start (McCullough,Brendan) 5 yards from UCHI42 to UCHI47. NO PLAY."
"20250906_e064",36,"play","pass_complete",4,2,9,"Carnegie Mellon","Carnegie Mellon",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"4th_down","No Huddle-Shotgun McGinnis IV,Joey pass complete short middle to McCullough,Nick caught at UCHI35, for 9 yards to the UCHI33 (Sakashita,Stirling), 1ST DOWN."
"20250906_e064",39,"penalty_no_play","penalty_no_play",2,7,,"Carnegie Mellon","Carnegie Mellon",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"no_play","PENALTY CMU False Start (Alligood,Sam) 5 yards from UCHI13 to UCHI18. NO PLAY."
"20250906_e064",41,"penalty_no_play","penalty_no_play",3,8,,"Carnegie Mellon","Carnegie Mellon",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"no_play","PENALTY CMU False Start (Katarincic,Charlie) 5 yards from UCHI14 to UCHI19. NO PLAY."
"20250906_e064",57,"play","pass_complete",1,4,4,"Carnegie Mellon","UChicago",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"rare_flag keyword","No Huddle-Shotgun McGinnis IV,Joey pass complete short left to McCullough,Brendan caught at UCHI00, for 4 yards to the UCHI00 TOUCHDOWN, clock 08:09."
"20250906_e064",66,"play","rush",3,2,1,"Carnegie Mellon","UChicago",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"rare_flag keyword","No Huddle-Shotgun Valente,Giacomo rush right for 1 yard gain to the UCHI45 fumbled by Valente,Giacomo at UCHI44 forced by Rolls,Hugh recovered by UCHI Weathers,Houston at UCHI45 Weathers,Houston return 13 yards to the CMU42 (Vallano,Anthony)."
